Country Name,Year,Adjusted savings: education expenditure (% of GNI),Adjusted savings: education expenditure (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Compulsory education, duration (years)","Fertility rate, total (births per woman)","Intentional homicides (per 100,000 people)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Mortality rate, infant, female (per 1,000 live births)","Mortality rate, infant, male (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5, male (per 1,000 live births)",Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of deaths ages 5-9 years,Number of infant deaths,Number of neonatal deaths,Number of under-five deaths,"Primary education, duration (years)","Primary education, pupils",Public and publicly guaranteed debt service (% of GNI),"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)","Secondary education, duration (years)",Sex ratio at birth (male births per female births),Total debt service (% of GNI)
Belize,2000.0,5.12,54430766.08,99.894,8.0,3.634,17.05448283,71.06,66.338,68.564,20.6,18.4,22.8,12.0,24.4,21.9,26.8,15.0,32.0,51.0,15.0,149.0,87.0,174.0,6.0,44788.0,6.728221895,16.90387778,6.0,1.051,7.135701877
Belize,2001.0,5.01,54907120.05,99.264,8.0,3.554,25.79610197,70.95,66.057,68.357,19.9,17.8,22.0,11.6,23.5,21.1,25.8,15.0,33.0,52.0,15.0,146.0,85.0,171.0,6.0,45246.0,8.549644101,21.69294809,6.0,1.052,8.806393949
Belize,2002.0,5.055,58916977.87,96.295,8.0,3.465,33.98610086,71.528,66.306,68.752,19.3,17.3,21.2,11.2,22.7,20.4,24.9,15.0,34.0,53.0,15.0,143.0,83.0,167.0,6.0,44430.0,15.90767606,38.5876096,6.0,1.052,16.0884367
Belize,2003.0,5.1,61634629.65,90.829,8.0,3.321,25.37898014,71.612,66.518,68.909,18.7,16.8,20.6,10.8,22.0,19.8,24.1,15.0,35.0,54.0,15.0,138.0,80.0,162.0,6.0,47187.0,12.45130253,28.99798872,6.0,1.052,12.61960073
Belize,2004.0,5.1,64910548.35,89.73,8.0,3.207,29.03040292,71.853,66.893,69.227,18.3,16.4,20.0,10.4,21.4,19.3,23.4,15.0,36.0,55.0,16.0,134.0,76.0,157.0,6.0,48996.0,25.59021113,61.40542714,6.0,1.052,25.77719175
Belize,2005.0,5.328571429,71779786.96,90.57,8.0,3.129,28.88987963,71.829,67.177,69.376,17.8,16.0,19.5,10.0,20.9,18.9,22.8,15.0,36.0,56.0,16.0,132.0,74.0,154.0,6.0,50247.0,16.86620666,36.72047742,6.0,1.052,16.92537752
Belize,2006.0,5.557142857,80896298.29,83.613,8.0,2.982,31.86373405,72.775,67.717,70.093,17.4,15.7,19.1,9.7,20.4,18.5,22.3,15.0,37.0,58.0,16.0,128.0,71.0,150.0,6.0,51497.0,9.402291002,17.45052095,6.0,1.051,9.47574376
Belize,2007.0,5.785714286,88929159.43,79.723,8.0,2.874,32.64086468,73.484,68.168,70.655,17.1,15.4,18.7,9.5,20.0,18.1,21.8,15.0,38.0,58.0,16.0,124.0,69.0,146.0,6.0,51898.0,42.14250231,78.8401283,6.0,1.052,42.20332842
Belize,2008.0,6.014285714,94052768.25,77.025,8.0,2.799,33.69630469,74.045,68.618,71.151,16.8,15.1,18.3,9.6,19.6,17.7,21.4,15.0,39.0,59.0,15.0,122.0,70.0,143.0,6.0,51994.0,6.447254494,11.57739747,6.0,1.052,9.408232133
Belize,2009.0,6.242857143,99252388.91,74.454,8.0,2.701,30.87495484,74.861,69.175,71.819,16.4,14.8,18.0,9.9,19.2,17.4,20.9,15.0,39.0,59.0,15.0,119.0,72.0,140.0,6.0,52629.0,6.034696517,13.10124487,6.0,1.052,7.88951191
Belize,2010.0,6.471428571,103542905.7,71.989,8.0,2.606,40.04886583,75.37,69.588,72.272,16.1,14.5,17.6,10.3,18.7,17.0,20.4,15.0,40.0,60.0,14.0,116.0,75.0,136.0,6.0,52650.0,6.020259093,11.55141269,6.0,1.052,7.943493971
Belize,2011.0,6.7,115394100.0,74.011,8.0,2.585,37.62849448,75.677,70.019,72.651,15.6,14.1,17.1,10.7,18.2,16.5,19.9,15.0,41.0,62.0,14.0,114.0,79.0,133.0,6.0,52361.0,5.143050295,9.334983663,6.0,1.052,7.626883153
Belize,2012.0,6.545,116684260.0,73.396,8.0,2.555,43.01917468,76.13,70.714,73.245,15.2,13.6,16.6,10.9,17.7,16.0,19.3,15.0,41.0,64.0,13.0,113.0,82.0,131.0,6.0,53605.0,5.26778543,9.016820024,6.0,1.052,8.69527412
Belize,2013.0,6.39,122068170.0,72.832,8.0,2.53,28.72166818,76.266,71.35,73.666,14.7,13.2,16.1,10.9,17.1,15.4,18.6,15.0,41.0,64.0,12.0,111.0,84.0,129.0,6.0,52573.0,5.837369921,10.45561518,6.0,1.052,7.117755645
Belize,2014.0,6.39,127812780.0,70.722,8.0,2.491,34.90995785,76.341,70.674,73.311,14.1,12.6,15.5,10.8,16.4,14.8,17.9,13.0,41.0,65.0,12.0,109.0,84.0,126.0,6.0,51978.0,3.740066363,6.810059795,6.0,1.052,4.633943702
Belize,2015.0,6.39,135151695.0,69.786,8.0,2.438,33.06740471,76.486,70.357,73.187,13.5,12.1,14.8,10.5,15.7,14.1,17.2,13.0,41.0,66.0,11.0,105.0,82.0,121.0,6.0,52072.0,3.667568018,7.396458638,6.0,1.052,4.664193374
Belize,2016.0,6.39,137196495.0,70.523,8.0,2.394,37.57018887,76.668,70.584,73.399,12.9,11.5,14.1,10.2,14.9,13.4,16.4,13.0,41.0,66.0,10.0,100.0,80.0,116.0,6.0,52333.0,3.983272288,8.69413499,6.0,1.052,4.80686928
Belize,2017.0,6.39,138075120.0,69.627,8.0,2.36,37.89764167,76.845,70.731,73.562,12.2,11.0,13.5,9.9,14.2,12.8,15.6,12.0,41.0,66.0,9.0,96.0,78.0,111.0,6.0,51512.0,4.015560898,8.285434042,6.0,1.052,4.877274375
Belize,2018.0,6.39,137944125.0,72.062,8.0,2.345,37.42808834,77.021,70.84,73.703,11.6,10.4,12.8,9.6,13.5,12.2,14.8,11.0,41.0,65.0,9.0,92.0,77.0,107.0,6.0,50764.0,4.004830375,7.916780797,6.0,1.052,5.324769273
Belize,2019.0,6.39,143969895.0,64.404,8.0,2.106,34.43889025,77.247,71.062,73.931,11.1,9.9,12.1,9.4,12.8,11.5,14.1,10.0,39.0,65.0,9.0,85.0,69.0,99.0,6.0,50388.0,4.213642502,8.42130113,6.0,1.052,4.686542848
Belize,2020.0,6.39,129164265.0,56.671,8.0,1.999,25.8279831,76.626,69.564,72.854,10.5,9.4,11.5,9.1,12.2,11.0,13.3,10.0,38.0,64.0,8.0,75.0,64.0,88.0,6.0,49449.0,3.791685095,10.44291294,6.0,1.052,4.001429662
Belize,2021.0,6.39,154225845.0,57.127,8.0,2.01,31.24757831,74.332,67.119,70.47,9.9,8.9,10.9,8.8,11.5,10.4,12.6,10.0,36.0,62.0,7.0,71.0,63.0,83.0,6.0,47442.0,26.13188645,58.44342242,6.0,1.051,26.34873922
Belize,2022.0,,,56.569,8.0,1.989,,74.685,67.721,70.962,9.4,8.4,10.3,8.4,10.9,9.9,12.0,9.0,35.0,61.0,7.0,67.0,61.0,79.0,6.0,45615.0,2.655111039,5.191895305,6.0,1.052,2.840475238
Belize,2023.0,,,,8.0,,,,,,,,,,,,,,,,,,,,6.0,44727.0,,,6.0,,
Costa Rica,2000.0,4.75,680431088.7,82.104,11.0,2.412,6.257550998,80.038,75.252,77.586,11.1,9.8,12.3,7.7,13.1,11.6,14.5,111.0,238.0,296.0,92.0,874.0,602.0,1034.0,6.0,551465.0,3.948468232,8.283189926,5.0,1.051,4.548778275
Costa Rica,2001.0,4.79,730095442.8,76.014,11.0,2.325,6.340633903,79.893,75.297,77.545,10.5,9.4,11.6,7.5,12.6,11.2,13.9,109.0,239.0,300.0,89.0,821.0,581.0,983.0,6.0,552302.0,4.105813632,9.272892629,5.0,1.052,4.572581554
Costa Rica,2002.0,4.17,659540262.1,71.194,11.0,2.2,6.258151667,80.374,75.692,77.983,10.2,9.1,11.2,7.3,12.2,10.9,13.4,108.0,241.0,304.0,87.0,775.0,546.0,927.0,6.0,545509.0,3.829402363,9.024655655,5.0,1.053,4.261185768
Costa Rica,2003.0,4.075,671343637.9,69.445,11.0,2.137,7.162279711,80.412,75.82,78.072,10.0,9.0,11.0,7.1,11.8,10.6,13.0,105.0,241.0,310.0,84.0,745.0,527.0,881.0,6.0,,4.482244709,10.22270519,5.0,1.049,5.015727733
