country,date,land_area,intentional_homicides,GDP_current_US,population,life_expectancy_at_birth,access_to_electricity%,inflation_annual%,gini_index,human_capital_index,intentional_homicides,CO2_emisions,real_interest_rate,tax_revenue%,expense%,political_stability_estimate,rule_of_law_estimate,life_expectancy_at_birth,population
Belize,2001-01-01,22810.0,25.79610197,1168127974.0,248100.0,68.357,80.23301697,3.651417866,,,25.79610197,481.4,17.75643266,13.95870176,14.4710172,,,68.357,248100.0
Belize,2002-01-01,22810.0,33.98610086,1240059540.0,255987.0,68.752,81.03787231,4.240266607,,,33.98610086,449.7,14.01337381,14.51385955,14.20234225,0.417992562,-0.045510951,68.752,255987.0
Belize,2003-01-01,22810.0,25.37898014,1303381861.0,263998.0,68.909,81.84118652,2.318082747,,,25.37898014,450.2,19.30454241,14.56959819,16.26664498,0.486082047,0.190566957,68.909,263998.0
Belize,2004-01-01,22810.0,29.03040292,1394273991.0,272128.0,69.227,82.64996338,6.394430997,,,29.03040292,409.6,11.60592932,14.91876786,19.29297985,0.401561916,-0.052921403,69.227,272128.0
Belize,2005-01-01,22810.0,28.88987963,1468145956.0,280375.0,69.376,83.47122192,-1.104310444,,,28.88987963,435.3,10.91404379,16.16821536,18.68761746,0.104911745,-0.048588708,69.376,280375.0
Belize,2006-01-01,22810.0,31.86373405,1584207353.0,288729.0,70.093,90.98853086,-7.113767713,,,31.86373405,461.2,10.61704866,16.74114815,19.59162728,0.08197704,0.023866652,70.093,288729.0
Belize,2007-01-01,22810.0,32.64086468,1699214299.0,297173.0,70.655,85.17308044,2.318082746,,,32.64086468,491.6,10.10943806,17.40992882,18.01659156,0.194921583,-0.044806231,70.655,297173.0
Belize,2008-01-01,22810.0,33.69630469,1731921564.0,305671.0,71.151,86.051651,6.394431003,,,33.69630469,450.9,10.2622897,17.14739894,18.29877903,0.190071985,-0.133091673,71.151,305671.0
Belize,2009-01-01,22810.0,30.87495484,1681473348.0,314171.0,71.819,86.94361115,-1.104310449,,,30.87495484,532.0,16.9748059,17.87497853,19.89383301,0.028430205,-0.323144495,71.819,314171.0
Belize,2010-01-01,22810.0,40.04886583,1739070295.0,322106.0,72.272,89.91722437,0.917977379,,,40.04886583,531.2,11.47691866,18.95679553,19.83312583,0.070427686,-0.281174034,72.272,322106.0
Belize,2011-01-01,22810.0,37.62849448,1818831938.0,329538.0,72.651,91.68173599,1.602056156,,,37.62849448,573.4,8.068780911,18.44925817,20.04316575,0.15190886,-0.469881326,72.651,329538.0
Belize,2012-01-01,22810.0,43.01917468,1899503250.0,337059.0,73.245,90.92204285,1.300580745,,,43.01917468,465.3,11.60778565,18.53284791,18.49357262,0.180257618,-0.435866833,73.245,337059.0
Belize,2013-01-01,22810.0,28.72166818,2021757434.0,344688.0,73.666,91.13336182,0.509747769,,,28.72166818,457.4,9.474317624,18.59427801,18.98882807,0.176189259,-0.451345652,73.666,344688.0
Belize,2014-01-01,22810.0,34.90995785,2125125606.0,352335.0,73.311,91.47062683,1.201399645,,,34.90995785,483.7,9.654163423,19.98515495,19.55937856,0.048583075,-0.814310551,73.311,352335.0
Belize,2015-01-01,22810.0,33.06740471,2194709309.0,359871.0,73.187,91.8,-0.861584009,,,33.06740471,675.1,10.26810719,19.69121604,20.60159529,0.037259512,-0.793606222,73.187,359871.0
Belize,2016-01-01,22810.0,37.57018887,2240593543.0,367313.0,73.399,93.26068878,0.663427168,,,37.57018887,651.3,7.579649228,20.63454775,21.2621657,0.052189551,-0.970443428,73.399,367313.0
Belize,2017-01-01,22810.0,37.89764167,2266664817.0,374693.0,73.562,94.15032959,1.147653393,,,37.89764167,643.1,6.241333927,21.34069899,22.33749349,0.030403515,-0.974695504,73.562,374693.0
Belize,2018-01-01,22810.0,37.42808834,2292787336.0,382066.0,73.703,91.72,0.269982623,,,37.42808834,630.0,9.010508065,,,-0.002222205,-0.842277706,73.703,382066.0
Belize,2019-01-01,22810.0,34.43889025,2386792476.0,389095.0,73.931,92.72,0.187069385,,,34.43889025,736.2,9.209361688,,,0.061934385,-0.855515778,73.931,389095.0
Belize,2020-01-01,22810.0,25.8279831,2047727810.0,394921.0,72.854,96.80762482,0.121434645,,,25.8279831,687.6,9.335135352,,,0.518612146,-0.825402975,72.854,394921.0
Belize,2021-01-01,22810.0,31.24757831,2424575179.0,400031.0,70.47,97.6921463,3.235636592,,,31.24757831,,7.943094459,,,0.272381902,-0.8000862,70.47,400031.0
Belize,2022-01-01,,,2830507576.0,405272.0,,,6.276893194,,,,,1.079177613,,,0.426349759,-0.720759094,,405272.0
Belize,2023-01-01,,,,,,,,,,,,,,,,,,
Costa Rica,2001-01-01,51060.0,6.340633903,15976174337.0,4053222.0,77.545,98.24978,11.25561571,51.5,,6.340633903,5422.7,12.86156663,13.3610338,22.7586749,,,77.545,4053222.0
Costa Rica,2002-01-01,51060.0,6.258151667,16578820687.0,4122623.0,77.983,98.509188,9.167520485,51.8,,6.258151667,5523.2,15.14732856,13.3681089,24.59491651,1.068694472,0.554997206,77.983,4122623.0
Costa Rica,2003-01-01,51060.0,7.162279711,17271760507.0,4188610.0,78.072,98.695902,9.447580916,49.3,,7.162279711,5798.9,13.49781682,13.58495161,23.62189843,0.59575659,0.526866555,78.072,4188610.0
Costa Rica,2004-01-01,51060.0,6.583898441,18610594846.0,4252800.0,78.331,98.954779,12.31481502,48.4,,6.583898441,5943.6,8.888553213,13.3589275,22.52538601,0.631576538,0.502903223,78.331,4252800.0
